STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.19492432 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.023274,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,107717000
CPU_CLK_UNHALTED_CORE,FIXC1,58138420
CPU_CLK_UNHALTED_REF,FIXC2,49557860
L2_TRANS_ALL_REQUESTS,PMC0,263445
L2_RQSTS_MISS,PMC1,78031
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0233,
Runtime unhalted [s],0.0265,
Clock [MHz],2574.9585,
CPI,0.5397,
L2 request rate,0.0024,
L2 miss rate,0.0007,
L2 miss ratio,0.2962,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.19492432 GHz,
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000003,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16099
CPU_CLK_UNHALTED_CORE,FIXC1,16514
CPU_CLK_UNHALTED_REF,FIXC2,13420
L2_TRANS_ALL_REQUESTS,PMC0,2439
L2_RQSTS_MISS,PMC1,773
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],3.188264e-06,
Runtime unhalted [s],7.523722e-06,
Clock [MHz],2700.9672,
CPI,1.0258,
L2 request rate,0.1515,
L2 miss rate,0.0480,
L2 miss ratio,0.3169,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.19492432 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.012658,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,54584580
CPU_CLK_UNHALTED_CORE,FIXC1,31379470
CPU_CLK_UNHALTED_REF,FIXC2,26533390
L2_TRANS_ALL_REQUESTS,PMC0,119390
L2_RQSTS_MISS,PMC1,39731
TABLE,Region CalculoResiduos,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0127,
Runtime unhalted [s],0.0143,
Clock [MHz],2595.8071,
CPI,0.5749,
L2 request rate,0.0022,
L2 miss rate,0.0007,
L2 miss ratio,0.3328,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.19492432 GHz,
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.019129,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,90079730
CPU_CLK_UNHALTED_CORE,FIXC1,48316460
CPU_CLK_UNHALTED_REF,FIXC2,40701980
L2_TRANS_ALL_REQUESTS,PMC0,234460
L2_RQSTS_MISS,PMC1,66118
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0191,
Runtime unhalted [s],0.0220,
Clock [MHz],2605.5483,
CPI,0.5364,
L2 request rate,0.0026,
L2 miss rate,0.0007,
L2 miss ratio,0.2820,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.19492432 GHz,
TABLE,Region SolucaoSistemaLinearOtim,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14883
CPU_CLK_UNHALTED_CORE,FIXC1,22347
CPU_CLK_UNHALTED_REF,FIXC2,19646
L2_TRANS_ALL_REQUESTS,PMC0,3368
L2_RQSTS_MISS,PMC1,1145
TABLE,Region SolucaoSistemaLinearOtim,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],3.872570e-06,
Runtime unhalted [s],1.018122e-05,
Clock [MHz],2496.6901,
CPI,1.5015,
L2 request rate,0.2263,
L2 miss rate,0.0769,
L2 miss ratio,0.3400,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.19492432 GHz,
TABLE,Region CalculoResiduosOtim,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.012645,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,49653260
CPU_CLK_UNHALTED_CORE,FIXC1,30890390
CPU_CLK_UNHALTED_REF,FIXC2,26585070
L2_TRANS_ALL_REQUESTS,PMC0,131187
L2_RQSTS_MISS,PMC1,43950
TABLE,Region CalculoResiduosOtim,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0126,
Runtime unhalted [s],0.0141,
Clock [MHz],2550.3814,
CPI,0.6221,
L2 request rate,0.0026,
L2 miss rate,0.0009,
L2 miss ratio,0.3350,
