STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194919793 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.001132,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,5064742
CPU_CLK_UNHALTED_CORE,FIXC1,2353288
CPU_CLK_UNHALTED_REF,FIXC2,2465342
L2_LINES_IN_ALL,PMC0,1522
L2_TRANS_L2_WB,PMC1,53
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0011,
Runtime unhalted [s],0.0011,
Clock [MHz],2095.1569,
CPI,0.4646,
L3 load bandwidth [MBytes/s],86.0321,
L3 load data volume [GBytes],0.0001,
L3 evict bandwidth [MBytes/s],2.9959,
L3 evict data volume [GBytes],3.392000e-06,
L3 bandwidth [MBytes/s],89.0280,
L3 data volume [GBytes],0.0001,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194919793 GHz,
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16164
CPU_CLK_UNHALTED_CORE,FIXC1,14030
CPU_CLK_UNHALTED_REF,FIXC2,14674
L2_LINES_IN_ALL,PMC0,586
L2_TRANS_L2_WB,PMC1,37
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],3.695726e-06,
Runtime unhalted [s],6.392033e-06,
Clock [MHz],2098.5910,
CPI,0.8680,
L3 load bandwidth [MBytes/s],10147.9385,
L3 load data volume [GBytes],3.750400e-05,
L3 evict bandwidth [MBytes/s],640.7401,
L3 evict data volume [GBytes],2.368000e-06,
L3 bandwidth [MBytes/s],10788.6786,
L3 data volume [GBytes],3.987200e-05,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194919793 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000354,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1511016
CPU_CLK_UNHALTED_CORE,FIXC1,729157
CPU_CLK_UNHALTED_REF,FIXC2,763906
L2_LINES_IN_ALL,PMC0,1855
L2_TRANS_L2_WB,PMC1,105
TABLE,Region CalculoResiduos,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0003,
Clock [MHz],2095.0760,
CPI,0.4826,
L3 load bandwidth [MBytes/s],334.9080,
L3 load data volume [GBytes],0.0001,
L3 evict bandwidth [MBytes/s],18.9571,
L3 evict data volume [GBytes],6.720000e-06,
L3 bandwidth [MBytes/s],353.8651,
L3 data volume [GBytes],0.0001,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194919793 GHz,
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.001105,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,4922354
CPU_CLK_UNHALTED_CORE,FIXC1,2322778
CPU_CLK_UNHALTED_REF,FIXC2,2433398
L2_LINES_IN_ALL,PMC0,1221
L2_TRANS_L2_WB,PMC1,82
